"gene"	"transcript"	"logFC_gast_nect"	"logCPM_gast_nect"	"PValue_gast_nect"	"P_adjust_gast_nect"	"CMN0040"	"CMN0039"	"CMN0047"	"CMN0048"	"go"	"CMN0039_GO_wnt"	"CMN0040_GO_wnt"	"CMN0039_GO_mapk"	"CMN0040_GO_mapk"	"CMN0039_GO_cyst"	"CMN0040_GO_cyst"	"CMN0039_GO_fate"	"CMN0040_GO_fate"
"82"	"c101382_g1_i1"	"42576"	0.741122416671637	6.77490461883007	0.372660246785595	1	894.32	2511.62	1640.07	1141.7	"GO:0005730,GO:0016593,GO:0001711,GO:0006368,GO:0006378,GO:0010390,GO:0019827,GO:0031442,GO:0032968,GO:0033523,GO:0045638"	2511.62	894.32	2511.62	894.32	2511.62	894.32	2511.62	894.32
"83"	"c101408_g2_i1"	"70653"	0.42929806361928	3.96517691143085	0.626266879706315	1	216.94	331.79	207.5	113.44	"GO:0000408,GO:0005634,GO:0005737,GO:0016787,GO:0046872,GO:0061711,GO:0008033"	331.79	216.94	331.79	216.94	331.79	216.94	331.79	216.94
"84"	"c101408_g2_i2"	"70652"	0.47906806547691	6.36020205193054	0.567585194327024	1	715.06	1683.21	1206.77	987.57	"GO:0000408,GO:0005634,GO:0005737,GO:0016787,GO:0046872,GO:0061711,GO:0008033"	1683.21	715.06	1683.21	715.06	1683.21	715.06	1683.21	715.06
"85"	"c101413_g1_i1"	"91253"	-0.26636777813537	2.35768680234165	0.785924849661985	1	50	78.72	58	85	"GO:0016787"	78.72	50	78.72	50	78.72	50	78.72	50
"86"	"c101433_g1_i1"	"73526"	0.0264481743999582	8.41661245329806	0.974702954161996	1	3049	4890.94	5418.9	5345	"GO:0043227,GO:0044421,GO:0004807,GO:0006094,GO:0006096,GO:0019682"	4890.94	3049	4890.94	3049	4890.94	3049	4890.94	3049
"87"	"c101467_g1_i1"	"56506"	0.193855319141538	5.35713026074678	0.820588695549032	1	488.01	844.84	481.91	462	"GO:0016607,GO:0000166,GO:0003723,GO:0046872,GO:0006396"	844.84	488.01	844.84	488.01	844.84	488.01	844.84	488.01
"88"	"c101467_g1_i2"	"56504"	7.35196802340744	-0.169747316544121	0.0135190748784115	1	0	0	42.07	0	"GO:0016607,GO:0000166,GO:0003723,GO:0046872,GO:0006396"	0	0	0	0	0	0	0	0
"89"	"c101481_g1_i1"	"41337"	0.131301230364135	7.79613232725164	0.876015554992465	1	1806.04	3147.64	3783	3449	"GO:0030529"	3147.64	1806.04	3147.64	1806.04	3147.64	1806.04	3147.64	1806.04
"90"	"c101489_g1_i1"	"30237"	0.287205347643711	4.9707743968326	0.733162048351701	1	302	563	471	397	"GO:0000166"	563	302	563	302	563	302	563	302
"91"	"c101505_g1_i1"	"8794"	2.19025585390732	6.96999407731432	0.216349183679302	1	1141.52	3958.31	2292.96	0	"GO:0005852,GO:0016282,GO:0033290,GO:0003743,GO:0001731,GO:0006446"	3958.31	1141.52	3958.31	1141.52	3958.31	1141.52	3958.31	1141.52
"92"	"c101505_g1_i2"	"8793"	-0.360023684151599	8.61440010876988	0.656212535872751	1	5731.35	5891.09	4477.26	5252.64	"GO:0005852,GO:0016282,GO:0033290,GO:0003743,GO:0001731,GO:0006446"	5891.09	5731.35	5891.09	5731.35	5891.09	5731.35	5891.09	5731.35
